frame_id,room_amount,window_amount,surface,total_exterior_wall_amount,total_source_energy_consumption_GJ,total_site_energy_consumption_GJ,total_source_energy_consumption_per_surface_MJm2,total_site_energy_consumption_per_surface_MJm2,site_energy_heating_GJ,site_energy_cooling_GJ,site_energy_heating_per_surface_MJm2,site_energy_cooling_per_surface_MJm2,total_window_amount,total_wall_area_m2,wall_area_north_m2,wall_area_east_m2,wall_area_south_m2,wall_area_west_m2,total_window_opening_area_m2,window_opening_area_north_m2,window_opening_area_east_m2,window_opening_area_south_m2,window_opening_area_west_m2,total_window_wall_ratio_percent,window_wall_ratio_north_percent,window_wall_ratio_east_percent,window_wall_ratio_south_percent,window_wall_ratio_west_percent
0,5,2,61.434200000000004,9.0,133.36,38.66,2170.71,629.36,27.66,0.68,450.22,11.1,2.0,85.53,18.32,24.45,18.32,24.45,4.49,4.49,0.0,0.0,0.0,5.25,24.52,0.0,0.0,0.0
0,5,9,61.434200000000004,9.0,169.73,51.1,2762.72,831.75,36.75,4.03,598.15,65.55,9.0,85.53,18.32,24.45,18.32,24.45,27.1,7.98,8.96,1.03,9.13,31.69,43.55,36.66,5.63,37.34
0,5,2,61.434200000000004,9.0,137.23,39.83,2233.75,648.31,28.69,0.81,467.05,13.22,2.0,85.53,18.32,24.45,18.32,24.45,6.86,6.86,0.0,0.0,0.0,8.02,37.44,0.0,0.0,0.0
0,5,7,61.434200000000004,9.0,157.81,47.55,2568.84,773.99,33.55,3.67,546.19,59.75,7.0,85.53,18.32,24.45,18.32,24.45,19.89,0.0,8.21,1.0,10.68,23.26,0.0,33.6,5.46,43.67
0,5,9,61.434200000000004,9.0,169.15,51.52,2753.29,838.64,36.35,4.85,591.63,78.97,9.0,85.53,24.45,18.32,24.45,18.32,27.1,8.96,1.03,9.13,7.98,31.69,36.66,5.63,37.34,43.55
0,5,2,61.434200000000004,9.0,135.57,39.31,2206.83,639.9,28.26,0.73,460.0,11.86,2.0,85.53,24.45,18.32,24.45,18.32,6.25,6.25,0.0,0.0,0.0,7.31,25.56,0.0,0.0,0.0
0,5,7,61.434200000000004,9.0,153.04,46.5,2491.06,756.95,32.12,4.06,522.81,66.1,7.0,85.53,24.45,18.32,24.45,18.32,17.42,0.0,1.0,10.68,5.74,20.37,0.0,5.46,43.67,31.36
0,5,7,61.434200000000004,9.0,153.9,46.37,2505.11,754.84,32.51,3.54,529.18,57.62,7.0,85.53,24.45,18.32,24.45,18.32,17.92,0.0,6.55,5.61,5.77,20.95,0.0,35.76,22.93,31.49
0,5,2,61.434200000000004,9.0,140.44,40.79,2286.04,663.88,29.55,0.91,481.06,14.78,2.0,85.53,18.32,24.45,18.32,24.45,9.24,9.24,0.0,0.0,0.0,10.81,50.46,0.0,0.0,0.0
0,5,7,61.434200000000004,9.0,164.59,50.22,2679.12,817.41,35.1,4.79,571.38,77.98,7.0,85.53,18.32,24.45,18.32,24.45,24.64,0.0,10.68,5.74,8.21,28.8,0.0,43.67,31.36,33.6
