TimeStamp,Duration,Optimizer,CV Type,Split,K-Folds,HL Widths,Conv Layer Type,Pooling,Learning Rate,Batch Size,Epochs,Training Accuracy,Testing Accuracy,Training Loss,Testing Loss
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,1,0.23897058823529413,0.29503676470588236,1.600416118448431,1.582455954768441
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,2,0.2665441176470588,0.296875,1.5842150991613215,1.5686828900467267
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,3,0.2665441176470588,0.2991727941176471,1.575764233415777,1.5610519674691288
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,4,0.2647058823529412,0.2991727941176471,1.5726577043533325,1.5553320944309235
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,5,0.2647058823529412,0.2991727941176471,1.5675791176882656,1.5510834943164478
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,6,0.2647058823529412,0.2977941176470588,1.5615463040091775,1.5491228184916757
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,7,0.2665441176470588,0.3000919117647059,1.5576765645634045,1.5439628281376578
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,8,0.2665441176470588,0.29733455882352944,1.5537322001023726,1.5403967960314318
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,9,0.2647058823529412,0.2991727941176471,1.5479953614148227,1.5364556773142382
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,10,0.2665441176470588,0.29963235294117646,1.5444288145412097,1.532391987063668
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,11,0.2702205882352941,0.30744485294117646,1.5408403223211116,1.528866789557717
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,12,0.27941176470588236,0.3069852941176471,1.5358903408050537,1.5259551080790432
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,13,0.28125,0.3125,1.5317806222222068,1.520887236703526
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,14,0.2867647058823529,0.3304227941176471,1.528059027411721,1.517749699679288
UTC-2023-3-3-14-23-18,17.178,Adam,Holdout,0.2,5,32,GraphConv,AvgPooling,0.01,50,15,0.29411764705882354,0.34375,1.5245752334594727,1.514993117614226
